지점,평가그룹,영업팀,채널,유통,Gross 실판 전년마감,Gross 실판 전년동기,Gross 실판 목표,Gross 실판,Gross 실판 전년동기比,Gross 실판 목표比,Gross 실판 평점,Gross 총판 전년마감,Gross 총판 전년동기,Gross 총판 목표,Gross 총판,Gross 총판 전년동기比,Gross 총판 목표比
(신)이마트 E/T스타필드하남점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,-40,8,33,39,384.2%,118.8%,10.000,-40,8,33,41,415.0%,126.4%
(신)이마트 분당점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,36,20,39,35,76.2%,90.7%,9.066,36,20,39,34,69.2%,87.0%
(신)이마트 성남점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,110,91,50,28,-69.3%,56.0%,5.601,110,91,50,28,-69.0%,56.6%
(신)이마트 하남점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,49,33,49,28,-14.2%,57.4%,5.742,49,33,49,27,-16.4%,56.0%
신 홈플러스 분당오리점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,29,13,31,22,70.2%,72.7%,7.274,29,13,31,22,64.4%,70.2%
(신)이마트 명일점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,25,21,27,22,0.8%,79.8%,7.977,25,21,27,19,-9.8%,71.4%
(신)이마트 양재점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,58,31,63,32,3.7%,50.7%,5.068,58,31,63,33,7.8%,52.7%
이마트 E/T스타필드위례점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,85,44,94,57,30.5%,60.6%,6.059,86,44,94,55,26.6%,58.8%
신 홈플러스 강동점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,164,121,171,57,-53.2%,33.1%,3.000,164,122,171,55,-55.0%,31.9%
신 홈플러스 잠실점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,8,0,8,9,4372.8%,109.9%,10.000,8,0,8,9,4372.8%,109.9%
(신)이마트 천호점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,38,25,42,14,-43.9%,33.0%,3.000,38,25,42,10,-59.3%,23.9%
(신)이마트 평촌점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,43,26,47,48,88.1%,102.5%,10.000,43,26,47,40,56.9%,85.5%
이마트 E/T군포점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,58,23,64,48,113.6%,76.2%,7.621,58,23,64,46,100.8%,71.6%
