지점,평가그룹,영업팀,채널,유통,로봇청소기Gross 전년마감실판,로봇청소기Gross 전년동기실판,로봇청소기Gross 당월실판,로봇청소기Gross 전년동기比,로봇청소기Gross 전년동기比평점,로봇청소기수량 전년마감실판,로봇청소기수량 전년동기실판,로봇청소기수량 목표,로봇청소기수량 당월실판,로봇청소기수량 전년동기比,로봇청소기수량 목표比,로봇청소기수량 목표比평점,로봇청소기 평점,스타일러Gross 전년마감실판,스타일러Gross 전년동기실판,스타일러Gross 당월실판,스타일러Gross 전년동기比,스타일러Gross 전년동기比평점,스타일러수량 전년마감실판,스타일러수량 전년동기실판,스타일러수량 목표,스타일러수량 당월실판,스타일러수량 전년동기比,스타일러수량 목표比,스타일러수량 목표比평점,스타일러 평점,식기세척기Gross 전년마감실판,식기세척기Gross 전년동기실판,식기세척기Gross 당월실판,식기세척기Gross 전년동기比,식기세척기Gross 전년동기比평점,식기세척기수량 전년마감실판,식기세척기수량 전년동기실판,식기세척기수량 목표,식기세척기수량 당월실판,식기세척기수량 전년동기比,식기세척기수량 목표比,식기세척기수량 목표比평점,식기세척기 평점,스탠바이미Gross 전년마감실판,스탠바이미Gross 전년동기실판,스탠바이미Gross 당월실판,스탠바이미Gross 전년동기比,스탠바이미Gross 전년동기比평점,스탠바이미수량 전년마감실판,스탠바이미수량 전년동기실판,스탠바이미수량 목표,스탠바이미수량 당월실판,스탠바이미수량 전년동기比,스탠바이미수량 목표比,스탠바이미수량 목표比평점,스탠바이미 평점,M&B제품계Gross 전년마감실판,M&B제품계Gross 전년동기실판,M&B제품계Gross 당월실판,M&B제품계Gross 전년동기比,M&B제품계수량 전년마감실판,M&B제품계수량 전년동기실판,M&B제품계수량 당월실판,M&B제품계수량 전년동기比,M&B Gross 평점,M&B 수량 평점,M&B 평점
(신)이마트 E/T스타필드하남점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,0.0,0.0,1.7,,2.500,0.0,0.0,0.0,2.0,,,2.500,5.000,-17.9,-17.9,3.9,-121.9%,2.500,-10.0,-10.0,0.0,2.0,-120.0%,,2.500,5.000,0.0,0.0,1.5,,2.500,0.0,0.0,0.0,1.0,,,2.500,5.000,0.0,0.0,1.1,,2.500,0.0,0.0,0.0,1.0,,,2.500,5.000,-17.9,-17.9,8.2,-146.1%,-10.0,-10.0,6.0,-160.0%,10.000,10.000,20.000
(신)이마트 분당점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,-0.8,0.0,0.0,,0.750,-1.0,0.0,0.0,0.0,,,2.500,3.250,1.9,0.0,7.2,,2.500,1.0,0.0,0.0,4.0,,,2.500,5.000,0.0,0.0,1.5,,2.500,0.0,0.0,0.0,1.0,,,2.500,5.000,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,1.0,0.0,8.7,,0.0,0.0,5.0,,6.500,10.000,16.500
(신)이마트 성남점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.7,0.7,3.6,413.8%,2.500,1.0,1.0,0.0,2.0,100.0%,,2.500,5.000,0.9,0.9,0.0,-100.0%,0.750,1.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,1.6,1.6,3.6,123.1%,2.0,2.0,2.0,0.0%,4.750,10.000,14.750
(신)이마트 하남점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,-0.8,-0.8,0.0,-100.0%,0.750,-1.0,-1.0,0.0,0.0,-100.0%,,2.500,3.250,4.8,3.2,2.3,-28.6%,0.750,3.0,2.0,0.0,1.0,-50.0%,,2.500,3.250,1.6,1.6,0.0,-100.0%,0.750,1.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,-0.9,-0.9,1.0,-209.7%,2.500,-1.0,-1.0,0.0,1.0,-200.0%,,2.500,5.000,4.7,3.1,3.3,7.6%,2.0,1.0,2.0,100.0%,4.750,10.000,14.750
신 홈플러스 분당오리점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,1.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,1.0,0.0,0.0,,3.000,10.000,13.000
(신)이마트 명일점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,0.8,0.8,0.0,-100.0%,0.750,1.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,1.8,1.8,2.9,62.7%,2.500,1.0,1.0,0.0,2.0,100.0%,,2.500,5.000,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,2.6,2.6,2.9,10.9%,2.0,2.0,2.0,0.0%,4.750,10.000,14.750
(신)이마트 양재점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,0.0,0.0,-0.9,,0.750,0.0,0.0,0.0,-1.0,,,2.500,3.250,1.8,0.0,0.0,,0.750,1.0,0.0,0.0,0.0,,,2.500,3.250,2.3,1.6,0.0,-98.4%,0.750,2.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,4.1,1.6,-0.8,-152.9%,3.0,1.0,-1.0,-200.0%,3.000,10.000,13.000
이마트 E/T스타필드위례점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,1.4,,2.500,0.0,0.0,0.0,1.0,,,2.500,5.000,0.1,0.1,0.0,-100.0%,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.9,0.9,0.0,-100.0%,0.750,1.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,1.0,1.0,1.4,37.3%,1.0,1.0,1.0,0.0%,4.750,10.000,14.750
신 홈플러스 강동점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,0.8,0.0,0.0,-100.0%,0.750,1.0,0.0,0.0,0.0,,,2.500,3.250,9.3,7.4,1.9,-74.4%,0.750,5.0,4.0,0.0,1.0,-75.0%,,2.500,3.250,1.5,1.5,1.5,3.5%,1.087,1.0,1.0,0.0,1.0,0.0%,,2.500,3.587,0.9,0.9,0.9,4.9%,1.122,1.0,1.0,0.0,1.0,0.0%,,2.500,3.622,12.5,9.8,4.3,-55.6%,8.0,6.0,3.0,-50.0%,3.709,10.000,13.709
신 홈플러스 잠실점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.0,0.0,0.0,,3.000,10.000,13.000
