지점,평가그룹,영업팀,채널,유통,로봇청소기Gross 전년마감총판,로봇청소기Gross 전년동기총판,로봇청소기Gross 당월총판,로봇청소기Gross 전년동기比,로봇청소기수량 전년마감총판,로봇청소기수량 전년동기총판,로봇청소기수량 목표,로봇청소기수량 당월총판,로봇청소기수량 전년동기比,로봇청소기수량 목표比,스타일러Gross 전년마감총판,스타일러Gross 전년동기총판,스타일러Gross 당월총판,스타일러Gross 전년동기比,스타일러수량 전년마감총판,스타일러수량 전년동기총판,스타일러수량 목표,스타일러수량 당월총판,스타일러수량 전년동기比,스타일러수량 목표比,식기세척기Gross 전년마감총판,식기세척기Gross 전년동기총판,식기세척기Gross 당월총판,식기세척기Gross 전년동기比,식기세척기수량 전년마감총판,식기세척기수량 전년동기총판,식기세척기수량 목표,식기세척기수량 당월총판,식기세척기수량 전년동기比,식기세척기수량 목표比,스탠바이미Gross 전년마감총판,스탠바이미Gross 전년동기총판,스탠바이미Gross 당월총판,스탠바이미Gross 전년동기比,스탠바이미수량 전년마감총판,스탠바이미수량 전년동기총판,스탠바이미수량 목표,스탠바이미수량 당월총판,스탠바이미수량 전년동기比,스탠바이미수량 목표比
(신)이마트 E/T스타필드하남점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,0.0,0.0,1.7,#DIV/0!,0.0,0.0,0.0,2.0,#DIV/0!,#DIV/0!,-17.9,-17.9,8.1,-145.2%,-10.0,-10.0,0.0,4.0,-140.0%,#DIV/0!,0.0,0.0,1.5,#DIV/0!,0.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!,0.0,0.0,-0.1,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!
(신)이마트 분당점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,-0.8,0.0,0.0,#DIV/0!,-1.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,1.9,0.0,7.2,#DIV/0!,1.0,0.0,0.0,4.0,#DIV/0!,#DIV/0!,0.0,0.0,1.5,#DIV/0!,0.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!
(신)이마트 성남점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.7,0.7,3.6,413.8%,1.0,1.0,0.0,2.0,100.0%,#DIV/0!,0.9,0.9,0.0,-100.0%,1.0,1.0,0.0,0.0,-100.0%,#DIV/0!
(신)이마트 하남점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,-0.8,-0.8,0.0,-100.0%,-1.0,-1.0,0.0,0.0,-100.0%,#DIV/0!,4.8,3.2,0.0,-100.0%,3.0,2.0,0.0,0.0,-100.0%,#DIV/0!,1.6,1.6,0.0,-100.0%,1.0,1.0,0.0,0.0,-100.0%,#DIV/0!,-0.9,-0.9,1.0,-209.7%,-1.0,-1.0,0.0,1.0,-200.0%,#DIV/0!
신 홈플러스 분당오리점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,1.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!
(신)이마트 명일점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,0.8,0.8,0.0,-100.0%,1.0,1.0,0.0,0.0,-100.0%,#DIV/0!,1.8,1.8,2.9,62.7%,1.0,1.0,0.0,2.0,100.0%,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!
(신)이마트 양재점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,0.0,0.0,0.9,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,1.8,0.0,0.0,#DIV/0!,1.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,2.3,1.6,0.0,-98.4%,2.0,1.0,0.0,0.0,-100.0%,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!
이마트 E/T스타필드위례점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,1.4,#DIV/0!,0.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!,0.1,0.1,1.9,1718.5%,0.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!,1.9,0.9,-1.1,-218.0%,2.0,1.0,0.0,-1.0,-200.0%,#DIV/0!
신 홈플러스 강동점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,0.8,0.0,0.0,-100.0%,1.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,9.3,7.4,1.9,-74.4%,5.0,4.0,0.0,1.0,-75.0%,#DIV/0!,1.5,1.5,3.4,132.8%,1.0,1.0,0.0,2.0,100.0%,#DIV/0!,0.9,0.9,0.9,4.9%,1.0,1.0,0.0,1.0,0.0%,#DIV/0!
신 홈플러스 잠실점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!
