지점,평가그룹,영업팀,채널,유통,경쟁력 전년누적실판M/S,경쟁력 당월채널실판M/S,경쟁력 당월실판가전+ITM/S,경쟁력 전년누적比,경쟁력 전년누적比평점,경쟁력 당월채널比,경쟁력 당월채널比평점,경쟁력 당월채널총판M/S,경쟁력 당월총판가전+ITM/S,경쟁력 당월채널比
(신)이마트 E/T스타필드하남점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,61.0%,53.2%,40.3%,-20.7%,6.000,-12.9%,4.500,53.2%,40.3%,-12.9%
(신)이마트 분당점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,69.9%,53.2%,84.9%,15.0%,15.000,31.8%,15.000,53.2%,84.9%,31.8%
(신)이마트 성남점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,64.9%,53.2%,40.9%,-24.0%,6.000,-12.3%,4.500,53.2%,40.9%,-12.3%
(신)이마트 하남점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,66.5%,53.2%,49.1%,-17.4%,6.000,-4.1%,4.500,53.2%,49.1%,-4.1%
신 홈플러스 분당오리점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,83.8%,72.7%,100.0%,16.2%,15.000,27.3%,15.000,72.7%,100.0%,27.3%
(신)이마트 명일점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,49.6%,53.2%,74.8%,25.2%,15.000,21.7%,15.000,53.2%,74.8%,21.7%
(신)이마트 양재점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,57.3%,53.2%,88.0%,30.8%,15.000,34.9%,15.000,53.2%,88.0%,34.9%
이마트 E/T스타필드위례점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,60.6%,53.2%,22.2%,-38.4%,6.000,-31.0%,4.500,53.2%,22.2%,-31.0%
신 홈플러스 강동점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,67.2%,72.7%,94.2%,27.0%,15.000,21.5%,15.000,72.7%,94.2%,21.5%
신 홈플러스 잠실점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,53.4%,72.7%,64.8%,11.4%,15.000,-7.9%,4.500,72.7%,64.8%,-7.9%
(신)이마트 천호점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,65.2%,53.2%,56.0%,-9.1%,6.000,2.9%,14.806,53.2%,56.0%,2.9%
(신)이마트 평촌점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,53.2%,53.2%,95.1%,41.9%,15.000,42.0%,15.000,53.2%,95.1%,42.0%
