지점,평가그룹,영업팀,채널,유통,구독 목표,구독 실판,구독 목표比 실판,구독 목표比 평점,구독모수 실판,구독비중 실판,구독비중 채널평균 실판,구독비중 채널평균比 실판,구독비중 채널평균比 평점,구독 총판,구독모수 총판,구독비중 총판,구독비중 채널평균 총판,구독 평점,구독비중 채널평균比 총판,구독 목표比 총판
(신)이마트 E/T스타필드하남점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,37,8,21.6%,14.000,25,32.0%,29.6%,2.4%,3.110,8,25,32.0%,27.1%,17.110,4.9%,21.6%
(신)이마트 분당점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,30,6,20.0%,14.000,24,25.0%,29.6%,-4.6%,1.000,2,20,10.0%,27.1%,15.000,-17.1%,6.7%
(신)이마트 성남점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,16,9,56.3%,14.000,17,52.9%,29.6%,23.4%,5.000,9,17,52.9%,27.1%,19.000,25.8%,56.3%
(신)이마트 하남점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,11,9,81.8%,21.636,15,60.0%,29.6%,30.4%,5.000,9,15,60.0%,27.1%,26.636,32.9%,81.8%
신 홈플러스 분당오리점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,4,2,50.0%,14.000,21,9.5%,13.2%,-3.7%,1.583,1,20,5.0%,13.9%,15.583,-8.9%,25.0%
(신)이마트 명일점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,5,2,40.0%,14.000,13,15.4%,29.6%,-14.2%,1.000,-1,10,-10.0%,27.1%,15.000,-37.1%,-20.0%
(신)이마트 양재점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,9,1,11.1%,14.000,19,5.3%,29.6%,-24.3%,1.000,0,18,0.0%,27.1%,15.000,-27.1%,0.0%
이마트 E/T스타필드위례점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,34,4,11.8%,14.000,23,17.4%,29.6%,-12.2%,1.000,3,22,13.6%,27.1%,15.000,-13.5%,8.8%
신 홈플러스 강동점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,12,19,158.3%,35.000,41,46.3%,13.2%,33.2%,5.000,15,37,40.5%,13.9%,40.000,26.7%,125.0%
신 홈플러스 잠실점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,2,0,0.0%,14.000,6,0.0%,13.2%,-13.2%,1.000,0,6,0.0%,13.9%,15.000,-13.9%,0.0%
(신)이마트 천호점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,8,3,37.5%,14.000,10,30.0%,29.6%,0.4%,2.610,0,7,0.0%,27.1%,16.610,-27.1%,0.0%
(신)이마트 평촌점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,17,7,41.2%,14.000,25,28.0%,29.6%,-1.6%,2.110,2,20,10.0%,27.1%,16.110,-17.1%,11.8%
이마트 E/T군포점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,16,6,37.5%,14.000,24,25.0%,29.6%,-4.6%,1.000,4,22,18.2%,27.1%,15.000,-8.9%,25.0%
신 홈플러스 서울남현점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,4,3,75.0%,19.250,16,18.8%,13.2%,5.6%,3.890,2,15,13.3%,13.9%,23.140,-0.5%,50.0%
신 홈플러스 평촌점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,4,0,0.0%,14.000,11,0.0%,13.2%,-13.2%,1.000,1,12,8.3%,13.9%,15.000,-5.5%,25.0%
(신)이마트 가든5점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,6,3,50.0%,14.000,12,25.0%,29.6%,-4.6%,1.000,3,12,25.0%,27.1%,15.000,-2.1%,50.0%
(신)이마트 경기광주점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,8,8,100.0%,28.000,20,40.0%,29.6%,10.4%,5.000,8,20,40.0%,27.1%,33.000,12.9%,100.0%
(신)이마트 산본점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,18,16,88.9%,24.111,30,53.3%,29.6%,23.8%,5.000,7,21,33.3%,27.1%,29.111,6.2%,38.9%
(신)이마트 스타필드하남점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,32,33,103.1%,29.094,68,48.5%,29.6%,19.0%,5.000,30,65,46.2%,27.1%,34.094,19.0%,93.8%
신 홈플러스 경기하남점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,2,3,150.0%,35.000,4,75.0%,13.2%,61.8%,5.000,3,4,75.0%,13.9%,40.000,61.1%,150.0%
(신)이마트 E/T안산신길점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,24,19,79.2%,20.708,65,29.2%,29.6%,-0.3%,2.417,7,53,13.2%,27.1%,23.126,-13.9%,29.2%
(신)이마트 고잔점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,14,18,128.6%,35.000,68,26.5%,29.6%,-3.1%,1.727,24,74,32.4%,27.1%,36.727,5.3%,171.4%
(신)이마트 화성봉담점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,14,11,78.6%,20.500,47,23.4%,29.6%,-6.2%,1.000,9,45,20.0%,27.1%,21.500,-7.1%,64.3%
E/T화서점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,21,8,38.1%,14.000,44,18.2%,29.6%,-11.4%,1.000,6,42,14.3%,27.1%,15.000,-12.8%,28.6%
(신)이마트 동탄점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,11,2,18.2%,14.000,19,10.5%,29.6%,-19.0%,1.000,2,19,10.5%,27.1%,15.000,-16.6%,18.2%
(신)이마트 오산점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,12,4,33.3%,14.000,21,19.0%,29.6%,-10.5%,1.000,7,24,29.2%,27.1%,15.000,2.1%,58.3%
(신)이마트 평택점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,11,16,145.5%,35.000,26,61.5%,29.6%,32.0%,5.000,4,14,28.6%,27.1%,40.000,1.5%,36.4%
일렉트로마트STF안성,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,17,12,70.6%,17.706,20,60.0%,29.6%,30.4%,5.000,4,12,33.3%,27.1%,22.706,6.2%,23.5%
신 홈플러스 오산점,대형마트담당 홈플러스,혼매경기팀,홈플러스,대형마트,4,0,0.0%,14.000,7,0.0%,13.2%,-13.2%,1.000,0,7,0.0%,13.9%,15.000,-13.9%,0.0%
(신)이마트 E/T수원점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,16,4,25.0%,14.000,16,25.0%,29.6%,-4.6%,1.000,5,17,29.4%,27.1%,15.000,2.3%,31.3%
(신)이마트 수원점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,19,10,52.6%,14.000,49,20.4%,29.6%,-9.2%,1.000,16,55,29.1%,27.1%,15.000,2.0%,84.2%
(신)이마트 흥덕점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,3,2,66.7%,14.000,2,100.0%,29.6%,70.4%,5.000,0,0,,27.1%,19.000,#VALUE!,0.0%
E/T동탄점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,11,14,127.3%,35.000,24,58.3%,29.6%,28.8%,5.000,18,28,64.3%,27.1%,40.000,37.2%,163.6%
신 홈플러스 화성향남점,대형마트담당 홈플러스,혼매경기팀,홈플러스,대형마트,5,6,120.0%,35.000,26,23.1%,13.2%,9.9%,4.971,8,28,28.6%,13.9%,39.971,14.7%,160.0%
(신)이마트 안성점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,10,15,150.0%,35.000,28,53.6%,29.6%,24.0%,5.000,13,26,50.0%,27.1%,40.000,22.9%,130.0%
E/T스타필드안성점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,48,3,6.3%,14.000,14,21.4%,29.6%,-8.1%,1.000,1,12,8.3%,27.1%,15.000,-18.8%,2.1%
(신)홈플러스 평택안중점,대형마트담당 홈플러스,혼매경기팀,홈플러스,대형마트,8,9,112.5%,32.375,43,20.9%,13.2%,7.7%,4.435,7,41,17.1%,13.9%,36.810,3.2%,87.5%
신 홈플러스 송탄점,대형마트담당 홈플러스,혼매경기팀,홈플러스,대형마트,2,0,0.0%,14.000,4,0.0%,13.2%,-13.2%,1.000,0,4,0.0%,13.9%,15.000,-13.9%,0.0%
(신)이마트 E/T구성점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,16,2,12.5%,14.000,8,25.0%,29.6%,-4.6%,1.000,7,13,53.8%,27.1%,15.000,26.7%,43.8%
(신)이마트 수지점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,10,6,60.0%,14.000,16,37.5%,29.6%,7.9%,4.485,8,18,44.4%,27.1%,18.485,17.3%,80.0%
(신)이마트 용인점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,4,1,25.0%,14.000,8,12.5%,29.6%,-17.1%,1.000,1,8,12.5%,27.1%,15.000,-14.6%,25.0%
(신)이마트 죽전점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,61,12,19.7%,14.000,46,26.1%,29.6%,-3.5%,1.631,13,47,27.7%,27.1%,15.631,0.5%,21.3%
(신)이마트 광교점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,7,4,57.1%,14.000,15,26.7%,29.6%,-2.9%,1.776,3,14,21.4%,27.1%,15.776,-5.7%,42.9%
(신)이마트 동백점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,4,0,0.0%,14.000,13,0.0%,29.6%,-29.6%,1.000,-4,9,-44.4%,27.1%,15.000,-71.6%,-100.0%
(신)이마트 보라점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,2,0,0.0%,14.000,4,0.0%,29.6%,-29.6%,1.000,0,4,0.0%,27.1%,15.000,-27.1%,0.0%
(신)이마트 서수원점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,12,7,58.3%,14.000,19,36.8%,29.6%,7.3%,4.320,15,27,55.6%,27.1%,18.320,28.4%,125.0%
일렉트로마트 STF화서,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,13,18,138.5%,35.000,48,37.5%,29.6%,7.9%,4.485,19,49,38.8%,27.1%,39.485,11.7%,146.2%
신 홈플러스 서수원점,대형마트담당 홈플러스,혼매경기팀,홈플러스,대형마트,3,0,0.0%,14.000,1,0.0%,13.2%,-13.2%,1.000,0,1,0.0%,13.9%,15.000,-13.9%,0.0%
신 홈플러스 경산점,경북대형마트담당 홈플러스,혼매경북팀,홈플러스,대형마트,5,4,80.0%,21.000,14,28.6%,13.2%,15.4%,5.000,5,15,33.3%,13.9%,26.000,19.5%,100.0%
신 홈플러스 대구수성점,경북대형마트담당 홈플러스,혼매경북팀,홈플러스,대형마트,6,7,116.7%,33.833,16,43.8%,13.2%,30.6%,5.000,3,12,25.0%,13.9%,38.833,11.1%,50.0%
신 홈플러스 상인점,경북대형마트담당 홈플러스,혼매경북팀,홈플러스,대형마트,5,4,80.0%,21.000,11,36.4%,13.2%,23.2%,5.000,4,11,36.4%,13.9%,26.000,22.5%,80.0%
신 홈플러스 죽도점,경북대형마트담당 홈플러스,혼매경북팀,홈플러스,대형마트,2,0,0.0%,14.000,5,0.0%,13.2%,-13.2%,1.000,0,5,0.0%,13.9%,15.000,-13.9%,0.0%
신 홈플러스 포항점,경북대형마트담당 홈플러스,혼매경북팀,홈플러스,대형마트,1,2,200.0%,35.000,3,66.7%,13.2%,53.5%,5.000,2,3,66.7%,13.9%,40.000,52.8%,200.0%
(신)이마트 김천점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,6,2,33.3%,14.000,23,8.7%,29.6%,-20.9%,1.000,2,23,8.7%,27.1%,15.000,-18.4%,33.3%
(신)이마트 동구미점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,8,14,175.0%,35.000,28,50.0%,29.6%,20.4%,5.000,8,22,36.4%,27.1%,40.000,9.3%,100.0%
(신)이마트 상주점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,6,1,16.7%,14.000,24,4.2%,29.6%,-25.4%,1.000,2,25,8.0%,27.1%,15.000,-19.1%,33.3%
(신)이마트 성서점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,10,12,120.0%,35.000,51,23.5%,29.6%,-6.0%,1.000,5,44,11.4%,27.1%,36.000,-15.7%,50.0%
(신)이마트 E/T비산점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,24,10,41.7%,14.000,61,16.4%,29.6%,-13.2%,1.000,13,64,20.3%,27.1%,15.000,-6.8%,54.2%
(신)이마트 만촌점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,22,13,59.1%,14.000,59,22.0%,29.6%,-7.5%,1.000,6,52,11.5%,27.1%,15.000,-15.6%,27.3%
(신)이마트 반야월점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,11,3,27.3%,14.000,40,7.5%,29.6%,-22.1%,1.000,8,45,17.8%,27.1%,15.000,-9.3%,72.7%
(신)이마트 영천점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,4,0,0.0%,14.000,14,0.0%,29.6%,-29.6%,1.000,0,14,0.0%,27.1%,15.000,-27.1%,0.0%
(신)이마트 포항점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,15,8,53.3%,14.000,38,21.1%,29.6%,-8.5%,1.000,8,38,21.1%,27.1%,15.000,-6.1%,53.3%
(신)이마트 경산점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,18,9,50.0%,14.000,38,23.7%,29.6%,-5.9%,1.000,8,37,21.6%,27.1%,15.000,-5.5%,44.4%
(신)이마트 월배점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,19,14,73.7%,18.789,45,31.1%,29.6%,1.5%,2.887,14,45,31.1%,27.1%,21.677,4.0%,73.7%
(신)이마트 이동점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,13,6,46.2%,14.000,46,13.0%,29.6%,-16.5%,1.000,2,42,4.8%,27.1%,15.000,-22.4%,15.4%
(신)이마트 칠성점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,17,8,47.1%,14.000,51,15.7%,29.6%,-13.9%,1.000,-1,42,-2.4%,27.1%,15.000,-29.5%,-5.9%
(신)이마트 구미점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,16,12,75.0%,19.250,39,30.8%,29.6%,1.2%,2.802,7,34,20.6%,27.1%,22.052,-6.5%,43.8%
신 홈플러스 문경점,경북대형마트담당 홈플러스,혼매경북팀,홈플러스,대형마트,1,0,0.0%,14.000,2,0.0%,13.2%,-13.2%,1.000,0,2,0.0%,13.9%,15.000,-13.9%,0.0%
신 홈플러스 안동점,경북대형마트담당 홈플러스,혼매경북팀,홈플러스,대형마트,6,4,66.7%,14.000,20,20.0%,13.2%,6.8%,4.202,2,18,11.1%,13.9%,18.202,-2.7%,33.3%
