지점,평가그룹,영업팀,채널,유통,트롬 건조기 수당,통돌이 수당,스타일러 수당,DIOS 수당,일반 김치 기타 수당,청소기 수당,식기세척기 수당,조리기기 수당,TV 수당,사운드바 수당,에어컨 수당,에어케어 수당,정수기 수당,가전수당계,PC 수당,"올레드48""↓ 수당",시네빔 수당,모니터 수당,포터블 수당,톤플러스 수당,pc수당계,지점수당,트롬 건조기 수량,통돌이 수량,스타일러 수량,DIOS 수량,일반 김치 기타 수량,청소기 수량,식기세척기 수량,조리기기 수량,TV 수량,사운드바 수량,에어컨 수량,에어케어 수량,정수기 수량,가전수량계,PC 수량,"올레드48""↓ 수량",시네빔 수량,모니터 수량,포터블 수량,톤플러스 수량,PC수량계,지점수량계
(신)이마트 E/T스타필드하남점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,"20,000 ","20,000 ","40,000 ",0 ,"80,000 ",0 ,0 ,0 ,"20,000 ",0 ,0 ,0 ,"100,000 ","280,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"280,000 ",1,1,1,0,2,0,0,0,1,0,0,0,2,8,0,0,0,0,0,0,0,8
(신)이마트 분당점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,"140,000 ",0 ,"40,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"180,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"180,000 ",4,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5
(신)이마트 성남점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,"25,000 ","10,000 ",0 ,0 ,"20,000 ","70,000 ","50,000 ",0 ,0 ,0 ,0 ,0 ,0 ,"175,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"175,000 ",2,1,0,0,2,3,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9
(신)이마트 하남점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,"30,000 ","20,000 ","40,000 ","130,000 ",0 ,"15,000 ",0 ,0 ,"31,500 ",0 ,"20,000 ",0 ,"100,000 ","386,500 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"386,500 ",1,1,1,1,0,1,0,0,2,0,1,0,1,9,0,0,0,0,0,0,0,9
신 홈플러스 분당오리점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,0 ,0 ,0 ,0 ,0 ,"15,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"15,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"15,000 ",0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2
(신)이마트 명일점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,0 ,"10,000 ",0 ,0 ,"5,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"15,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"15,000 ",0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
(신)이마트 양재점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,0 ,0 ,0 ,"15,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"15,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"15,000 ",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
이마트 E/T스타필드위례점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,"30,000 ",0 ,0 ,0 ,"50,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"80,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"80,000 ",2,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4
신 홈플러스 강동점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,"105,000 ","40,000 ",0 ,0 ,"5,000 ","50,000 ",0 ,"60,000 ","33,000 ",0 ,0 ,0 ,"180,000 ","473,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"473,000 ",5,3,0,0,1,2,0,2,3,0,0,0,2,18,0,0,0,0,0,0,0,18
신 홈플러스 잠실점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
