지점,평가그룹,영업팀,채널,유통,트롬 건조기 수당,통돌이 수당,스타일러 수당,DIOS 수당,일반 김치 기타 수당,청소기 수당,식기세척기 수당,조리기기 수당,TV 수당,사운드바 수당,에어컨 수당,에어케어 수당,정수기 수당,가전수당계,PC 수당,"올레드48""↓ 수당",시네빔 수당,모니터 수당,포터블 수당,톤플러스 수당,pc수당계,지점수당,트롬 건조기 수량,통돌이 수량,스타일러 수량,DIOS 수량,일반 김치 기타 수량,청소기 수량,식기세척기 수량,조리기기 수량,TV 수량,사운드바 수량,에어컨 수량,에어케어 수량,정수기 수량,가전수량계,PC 수량,"올레드48""↓ 수량",시네빔 수량,모니터 수량,포터블 수량,톤플러스 수량,PC수량계,지점수량계
(신)이마트 E/T스타필드하남점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,"95,000 ",0 ,"20,000 ","65,000 ","5,000 ","40,000 ","20,000 ","40,000 ","(10,000)",0 ,0 ,"20,000 ",0 ,"295,000 ",0 ,0 ,0 ,"10,000 ",0 ,0 ,"10,000 ","305,000 ",5,0,1,4,1,4,1,9,-1,0,0,4,0,28,0,0,0,2,0,0,2,30
(신)이마트 분당점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,"75,000 ","10,000 ","60,000 ",0 ,"45,000 ","60,000 ","5,000 ","40,000 ",0 ,0 ,0 ,0 ,0 ,"295,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"295,000 ",4,1,3,0,3,6,1,2,0,0,0,0,0,20,0,0,0,0,0,0,0,20
(신)이마트 성남점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,"15,000 ",0 ,0 ,0 ,"10,000 ",0 ,"20,000 ","65,000 ","1,000 ",0 ,"25,000 ","10,000 ",0 ,"146,000 ","50,000 ",0 ,0 ,0 ,0 ,0 ,"50,000 ","196,000 ",1,0,0,0,2,0,1,3,1,0,3,2,0,13,1,0,0,0,0,0,1,14
(신)이마트 하남점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,"(30,000)",0 ,0 ,"10,000 ","35,000 ",0 ,0 ,0 ,"10,000 ",0 ,0 ,"20,000 ",0 ,"45,000 ","50,000 ",0 ,0 ,0 ,0 ,0 ,"50,000 ","95,000 ",-2,0,0,1,5,0,0,0,1,0,0,1,0,6,1,0,0,0,0,0,1,7
신 홈플러스 분당오리점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,0 ,"55,000 ",0 ,"10,000 ","45,000 ",0 ,0 ,"20,000 ","45,000 ",0 ,0 ,0 ,0 ,"175,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"175,000 ",2,11,0,1,3,0,0,1,2,0,0,0,0,20,0,0,0,0,0,0,0,20
(신)이마트 명일점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,"65,000 ",0 ,"25,000 ","50,000 ","5,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"145,000 ","30,000 ",0 ,0 ,0 ,0 ,0 ,"30,000 ","175,000 ",3,0,2,2,2,0,0,0,0,0,0,1,0,10,1,0,0,0,0,0,1,11
(신)이마트 양재점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,"55,000 ","15,000 ",0 ,"105,000 ","40,000 ","10,000 ",0 ,"20,000 ",0 ,0 ,0 ,"65,000 ",0 ,"310,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"310,000 ",5,2,0,4,1,2,0,1,0,0,0,4,0,19,0,0,0,0,0,0,0,19
이마트 E/T스타필드위례점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,"380,000 ",0 ,"20,000 ","20,000 ","85,000 ","30,000 ",0 ,"40,000 ","(32,000)","1,800 ",0 ,"20,000 ",0 ,"564,800 ","200,000 ",0 ,0 ,"10,000 ",0 ,0 ,"210,000 ","774,800 ",19,0,1,1,5,3,0,1,-12,1,0,2,0,21,5,0,0,1,0,0,6,27
신 홈플러스 강동점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,"100,000 ","15,000 ","20,000 ","90,000 ","5,000 ",0 ,"20,000 ","50,000 ","75,000 ",0 ,"(40,000)","20,000 ",0 ,"355,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"355,000 ",5,2,1,5,1,0,1,2,3,0,-2,1,0,19,0,0,0,0,0,0,0,19
신 홈플러스 잠실점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,"40,000 ","15,000 ",0 ,"30,000 ","20,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"105,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"105,000 ",2,3,0,3,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9
(신)이마트 천호점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,"5,000 ","(5,000)",0 ,"15,000 ","10,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"25,000 ","10,000 ",0 ,0 ,"10,000 ",0 ,0 ,"20,000 ","45,000 ",1,-1,0,3,4,0,0,1,0,0,0,0,0,8,1,0,0,1,0,0,2,10
(신)이마트 평촌점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,"40,000 ",0 ,0 ,"45,000 ","105,000 ",0 ,0 ,0 ,"95,000 ",0 ,0 ,0 ,0 ,"285,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"285,000 ",2,0,0,6,7,0,0,0,4,0,0,0,0,19,0,0,0,0,0,0,0,19
이마트 E/T군포점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,"90,000 ",0 ,"20,000 ",0 ,"160,000 ",0 ,0 ,"40,000 ","50,000 ",0 ,0 ,0 ,0 ,"360,000 ","60,000 ",0 ,0 ,0 ,0 ,"27,000 ","87,000 ","447,000 ",4,0,1,1,9,0,0,1,2,0,0,0,0,18,1,0,0,0,0,3,4,22
신 홈플러스 서울남현점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,0 ,"35,000 ",0 ,"135,000 ","20,000 ",0 ,"20,000 ","20,000 ","50,000 ",0 ,0 ,"20,000 ",0 ,"300,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"300,000 ",0,6,0,5,1,0,1,1,1,0,0,1,0,16,0,0,0,0,0,0,0,16
신 홈플러스 평촌점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,"40,000 ",0 ,"40,000 ",0 ,"60,000 ","10,000 ",0 ,0 ,"10,000 ",0 ,0 ,0 ,0 ,"160,000 ",0 ,"10,000 ",0 ,0 ,0 ,0 ,"10,000 ","170,000 ",2,0,2,0,3,1,0,0,1,0,0,0,0,9,0,1,0,0,0,0,1,10
(신)이마트 가든5점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,"55,000 ",0 ,0 ,"20,000 ","5,000 ",0 ,0 ,"40,000 ",0 ,0 ,0 ,"30,000 ",0 ,"150,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"150,000 ",3,0,0,1,3,0,0,2,0,0,0,3,0,12,0,0,0,0,0,0,0,12
(신)이마트 경기광주점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,"80,000 ",0 ,0 ,"5,000 ","45,000 ","20,000 ","20,000 ",0 ,"18,000 ",0 ,0 ,0 ,0 ,"188,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"188,000 ",4,0,0,1,3,1,1,0,1,0,0,0,0,11,0,0,0,0,0,0,0,11
(신)이마트 산본점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,"80,000 ",0 ,0 ,"90,000 ","15,000 ","10,000 ",0 ,"20,000 ","20,000 ",0 ,0 ,0 ,0 ,"235,000 ","520,000 ",0 ,0 ,"30,000 ",0 ,0 ,"550,000 ","785,000 ",4,0,0,5,3,1,0,2,2,0,0,0,0,17,11,0,0,3,0,0,14,31
(신)이마트 스타필드하남점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,"360,000 ",0 ,"40,000 ","25,000 ","45,000 ","20,000 ","20,000 ",0 ,"195,000 ",0 ,0 ,"20,000 ","50,000 ","775,000 ","980,000 ",0 ,0 ,"50,000 ",0 ,0 ,"1,030,000 ","1,805,000 ",19,0,2,2,3,1,1,2,5,0,0,1,1,37,23,0,0,8,0,0,31,68
신 홈플러스 경기하남점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,"10,000 ",0 ,0 ,"10,000 ",0 ,0 ,0 ,0 ,"2,500 ",0 ,0 ,0 ,0 ,"22,500 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"22,500 ",1,0,0,2,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,4
(신)이마트 E/T안산신길점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,"120,000 ",0 ,"120,000 ",0 ,"270,000 ","90,000 ","20,000 ","20,000 ","50,000 ",0 ,0 ,"80,000 ",0 ,"770,000 ","50,000 ",0 ,0 ,0 ,0 ,0 ,"50,000 ","820,000 ",6,0,6,0,16,9,1,1,-14,0,0,5,0,30,1,0,0,0,0,0,1,31
(신)이마트 고잔점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,"375,000 ","5,000 ","60,000 ","55,000 ","115,000 ","10,000 ","20,000 ","120,000 ","365,500 ",0 ,"25,000 ",0 ,0 ,"1,150,500 ","230,000 ",0 ,0 ,"60,000 ",0 ,0 ,"290,000 ","1,440,500 ",20,1,3,6,9,1,1,5,6,0,3,1,0,56,5,0,0,8,0,0,13,69
(신)이마트 화성봉담점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,"45,000 ",0 ,0 ,"120,000 ","290,000 ","15,000 ",0 ,"20,000 ","20,000 ",0 ,"10,000 ","20,000 ",0 ,"540,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"540,000 ",3,0,0,12,16,1,0,2,2,0,2,3,0,41,0,0,0,0,0,0,0,41
E/T화서점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,"80,000 ",0 ,"20,000 ","40,000 ","35,000 ","40,000 ","(10,000)","40,000 ","185,500 ",0 ,0 ,"20,000 ",0 ,"450,500 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"450,500 ",4,0,1,3,3,3,-1,2,5,0,0,19,0,39,0,0,0,0,0,0,0,39
(신)이마트 동탄점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,"50,000 ",0 ,"20,000 ","25,000 ","55,000 ","30,000 ","20,000 ","20,000 ","10,000 ",0 ,0 ,0 ,"40,000 ","270,000 ","140,000 ",0 ,0 ,"10,000 ",0 ,0 ,"150,000 ","420,000 ",2,0,1,2,5,3,1,1,1,0,0,0,1,17,3,0,0,5,0,0,8,25
(신)이마트 오산점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,"130,000 ",0 ,"5,000 ","30,000 ","10,000 ","35,000 ","20,000 ","20,000 ","50,000 ",0 ,0 ,0 ,0 ,"300,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"300,000 ",7,0,1,2,2,3,1,2,2,0,0,0,0,20,0,0,0,0,0,0,0,20
(신)이마트 평택점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,"20,000 ","5,000 ",0 ,"35,000 ","5,000 ","10,000 ",0 ,"40,000 ","110,000 ",0 ,0 ,"20,000 ",0 ,"245,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"245,000 ",1,1,0,4,2,1,0,2,1,0,0,1,0,13,0,0,0,0,0,0,0,13
일렉트로마트STF안성,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,"80,000 ",0 ,0 ,"(10,000)","15,000 ",0 ,0 ,"20,000 ","110,000 ",0 ,0 ,0 ,0 ,"215,000 ","450,000 ",0 ,0 ,"30,000 ",0 ,0 ,"480,000 ","695,000 ",4,0,0,-2,3,0,0,2,1,0,0,0,0,8,9,0,0,3,0,0,12,20
신 홈플러스 오산점,대형마트담당 홈플러스,혼매경기팀,홈플러스,대형마트,"40,000 ","15,000 ","20,000 ",0 ,"5,000 ",0 ,0 ,0 ,"20,000 ",0 ,0 ,0 ,0 ,"100,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"100,000 ",2,2,1,0,1,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,7
(신)이마트 E/T수원점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,"100,000 ",0 ,"20,000 ","(100,000)","25,000 ",0 ,"80,000 ",0 ,"670,000 ",0 ,0 ,"40,000 ",0 ,"835,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"835,000 ",6,0,1,-10,4,0,4,0,5,0,0,4,0,14,0,0,0,2,0,0,2,16
(신)이마트 수원점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,"290,000 ","20,000 ",0 ,"170,000 ","35,000 ","20,000 ",0 ,"40,000 ","235,000 ",0 ,"85,000 ",0 ,0 ,"895,000 ","60,000 ",0 ,0 ,0 ,0 ,0 ,"60,000 ","955,000 ",14,3,0,6,5,1,0,4,4,0,7,1,0,45,1,0,0,0,0,0,1,46
