지점,평가그룹,영업팀,채널,유통,채널 M&B Gross 총판 신장율,목표,Gross총판,달성율,지급율,상위구간달성목표,구독총판,구독총판 모수,구독총판 비중,구독비중 추가지급 결과,지점MB전년마감Gross 총판,지점MB전년동기Gross 총판,지점MB당월Gross 총판,지점MB전년동기比Gross 총판신장율,지점전년마감Gross 총판,지점전년동기Gross 총판,지점당월Gross 총판,지점전년동기比Gross 총판신장율,조건1,조건2,신규점_MB비중,신규점_MB비중 채널比,수당 100% 지급조건 결과,최종 지급율,Gross실판 가전,Gross실판 IT,Gross실판 가전+IT,가전비중,IT비중,가전수당,IT수당,계
(신)이마트 E/T스타필드하남점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,24.5%,32.60,41.20,126.4%,0.6%,1.19,8,25,32.0%,0.2%,-17.89,-17.89,11.29,,-39.56,8.00,41.20,415.0%,,,,,100.0%,0.8%,38.04,0.69,38.73,98.2%,1.8%,"304,296 ","5,552 ","309,848 "
(신)이마트 분당점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,24.5%,38.95,33.90,87.0%,0.0%,5.05,2,20,10.0%,X,1.04,0.00,8.69,,35.51,20.04,33.90,69.2%,,,,,100.0%,0.0%,35.31,0.00,35.31,100.0%,0.0%,,,
(신)이마트 성남점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,24.5%,49.92,28.24,56.6%,0.0%,21.67,9,17,52.9%,X,1.59,1.59,3.55,123.1%,110.22,90.98,28.24,-69.0%,192.0%,98.6%,,,100.0%,0.0%,26.05,1.91,27.96,93.2%,6.8%,,,
(신)이마트 하남점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,24.5%,49.08,27.46,56.0%,0.0%,21.62,9,15,60.0%,X,4.68,3.06,0.99,-67.6%,49.29,32.85,27.46,-16.4%,-51.2%,-92.1%,,,50.0%,0.0%,26.44,1.74,28.18,93.8%,6.2%,,,
신 홈플러스 분당오리점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,-42.0%,30.87,21.68,70.2%,0.0%,9.19,1,20,5.0%,X,0.00,0.00,0.00,M&B미판매점,29.45,13.19,21.68,64.4%,M&B미판매점,M&B미판매점,,,50.0%,0.0%,22.46,0.00,22.46,100.0%,0.0%,,,
(신)이마트 명일점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,24.5%,27.16,19.38,71.4%,0.0%,7.77,-1,10,-10.0%,X,2.60,2.62,2.91,10.9%,24.75,21.48,19.38,-9.8%,20.7%,-13.5%,,,100.0%,0.0%,19.58,2.08,21.66,90.4%,9.6%,,,
(신)이마트 양재점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,24.5%,63.26,33.33,52.7%,0.0%,29.93,0,18,0.0%,X,4.06,1.57,0.96,-39.3%,57.66,30.92,33.33,7.8%,-47.1%,-63.8%,,,50.0%,0.0%,32.06,0.00,32.06,100.0%,0.0%,,,
이마트 E/T스타필드위례점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,24.5%,93.68,55.07,58.8%,0.0%,38.61,3,22,13.6%,X,2.00,1.01,2.24,121.9%,86.39,43.50,55.07,26.6%,95.3%,97.5%,,,100.0%,0.0%,48.41,8.35,56.76,85.3%,14.7%,,,
신 홈플러스 강동점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,-42.0%,171.50,54.73,31.9%,0.0%,116.77,15,37,40.5%,X,12.47,9.76,6.23,-36.1%,164.13,121.71,54.73,-55.0%,18.9%,5.9%,,,100.0%,0.0%,56.70,0.00,56.70,100.0%,0.0%,,,
신 홈플러스 잠실점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,-42.0%,8.37,9.20,109.9%,0.2%,0.00,0,6,0.0%,X,0.00,0.00,0.00,M&B미판매점,7.98,0.21,9.20,4372.8%,M&B미판매점,M&B미판매점,,,50.0%,0.1%,9.20,0.00,9.20,100.0%,0.0%,"9,204 ",0 ,"9,204 "
(신)이마트 천호점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,24.5%,41.81,10.01,23.9%,0.0%,31.81,0,7,0.0%,X,5.91,5.91,0.00,M&B미판매점,38.11,24.56,10.01,-59.3%,M&B미판매점,M&B미판매점,,,50.0%,0.0%,12.22,1.57,13.78,88.6%,11.4%,,,
(신)이마트 평촌점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,24.5%,47.29,40.44,85.5%,0.0%,6.85,2,20,10.0%,X,2.52,1.61,2.16,34.0%,43.11,25.77,40.44,56.9%,-22.9%,9.5%,,,100.0%,0.0%,48.49,0.00,48.49,100.0%,0.0%,,,
이마트 E/T군포점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,24.5%,63.61,45.57,71.6%,0.0%,18.04,4,22,18.2%,X,7.39,1.79,2.80,56.7%,57.98,22.70,45.57,100.8%,-44.0%,32.3%,,,100.0%,0.0%,46.34,2.14,48.48,95.6%,4.4%,,,
신 홈플러스 서울남현점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,-42.0%,38.88,31.93,82.1%,0.0%,6.95,2,15,13.3%,X,10.37,10.41,1.60,-84.7%,37.09,30.85,31.93,3.5%,-88.2%,-42.6%,,,50.0%,0.0%,33.97,0.00,33.97,100.0%,0.0%,,,
신 홈플러스 평촌점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,-42.0%,59.65,18.39,30.8%,0.0%,41.26,1,12,8.3%,X,11.65,8.95,4.70,-47.5%,56.90,39.44,18.39,-53.4%,5.9%,-5.5%,,,100.0%,0.0%,18.39,0.00,18.39,100.0%,0.0%,,,
(신)이마트 가든5점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,24.5%,49.54,19.42,39.2%,0.0%,30.12,3,12,25.0%,X,8.25,4.69,4.15,-11.6%,45.16,24.86,19.42,-21.9%,10.3%,-36.1%,,,100.0%,0.0%,18.22,0.00,18.22,100.0%,0.0%,,,
(신)이마트 경기광주점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,24.5%,61.40,29.86,48.6%,0.0%,31.54,8,20,40.0%,X,5.31,2.75,4.93,79.2%,55.97,40.81,29.86,-26.8%,106.0%,54.7%,,,100.0%,0.0%,31.56,0.00,31.56,100.0%,0.0%,,,
(신)이마트 산본점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,24.5%,113.39,63.46,56.0%,0.0%,49.94,7,21,33.3%,X,7.93,3.36,0.94,-72.2%,105.17,54.23,63.46,17.0%,-89.2%,-96.6%,,,50.0%,0.0%,53.42,22.61,76.03,70.3%,29.7%,,,
(신)이마트 스타필드하남점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,24.5%,328.89,154.91,47.1%,0.0%,173.99,30,65,46.2%,X,21.01,9.69,10.26,5.8%,304.87,167.79,154.91,-7.7%,13.5%,-18.6%,,,100.0%,0.0%,117.38,45.61,162.99,72.0%,28.0%,,,
신 홈플러스 경기하남점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,-42.0%,0.56,8.14,1449.1%,1.2%,최대지급율,3,4,75.0%,0.2%,0.00,0.00,0.00,M&B미판매점,1.44,0.54,8.14,1419.3%,M&B미판매점,M&B미판매점,,,50.0%,0.7%,9.43,0.00,9.43,100.0%,0.0%,"65,996 ",0 ,"65,996 "
(신)이마트 E/T안산신길점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,24.5%,209.51,61.60,29.4%,0.0%,147.91,7,53,13.2%,X,9.94,4.20,11.38,171.0%,190.98,76.92,61.60,-19.9%,190.9%,146.5%,,,100.0%,0.0%,82.00,1.91,83.91,97.7%,2.3%,,,
(신)이마트 고잔점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,24.5%,101.47,152.74,150.5%,1.2%,최대지급율,24,74,32.4%,0.2%,2.69,0.00,11.91,,92.50,67.53,152.74,126.2%,,,,,100.0%,1.4%,128.72,12.02,140.74,91.5%,8.5%,"1,802,110 ","168,264 ","1,970,374 "
(신)이마트 화성봉담점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,24.5%,77.39,87.20,112.7%,0.4%,5.67,9,45,20.0%,X,4.07,0.66,2.02,204.1%,70.55,35.74,87.20,144.0%,60.1%,179.6%,,,100.0%,0.4%,88.28,0.00,88.28,100.0%,0.0%,"353,122 ",0 ,"353,122 "
E/T화서점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,24.5%,80.37,50.85,63.3%,0.0%,29.52,6,42,14.3%,X,3.20,3.98,1.41,-64.5%,73.26,48.09,50.85,5.7%,-70.2%,-89.0%,,,50.0%,0.0%,52.92,0.00,52.92,100.0%,0.0%,,,
(신)이마트 동탄점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,24.5%,102.29,35.91,35.1%,0.0%,66.38,2,19,10.5%,X,8.92,6.31,4.28,-32.1%,93.24,69.77,35.91,-48.5%,16.4%,-56.6%,,,100.0%,0.0%,31.87,6.68,38.54,82.7%,17.3%,,,
