지점,평가그룹,영업팀,채널,유통,결과 순위,Gross 평점,경쟁력 평점,M&B 평점,구독 평점,결과 총 평점,결과 가감점,결과 최종평점,결과 최종평점
(신)이마트 E/T스타필드하남점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,="13/19",10.000,10.500,20.000,17.110,57.610,0.000,57.610,57.610
(신)이마트 분당점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,="5/19",9.066,30.000,16.500,15.000,70.566,0.000,70.566,70.566
(신)이마트 성남점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,="12/18",5.601,10.500,14.750,19.000,49.851,0.000,49.851,49.851
(신)이마트 하남점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,="8/18",5.742,10.500,14.750,26.636,57.628,0.000,57.628,57.628
신 홈플러스 분당오리점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,="5/11",7.274,30.000,13.000,15.583,65.857,0.000,65.857,65.857
(신)이마트 명일점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,="6/18",7.977,30.000,14.750,15.000,67.727,0.000,67.727,67.727
(신)이마트 양재점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,="9/19",5.068,30.000,13.000,15.000,63.068,0.000,63.068,63.068
이마트 E/T스타필드위례점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,="16/19",6.059,10.500,14.750,15.000,46.309,0.000,46.309,46.309
신 홈플러스 강동점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,="4/11",3.000,30.000,13.709,40.000,86.709,0.000,86.709,86.709
신 홈플러스 잠실점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,="7/11",10.000,19.500,13.000,15.000,57.500,0.000,57.500,57.500
(신)이마트 천호점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,="10/18",3.000,20.806,13.000,16.610,53.415,0.000,53.415,53.415
(신)이마트 평촌점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,="3/19",10.000,30.000,16.500,16.110,72.610,0.000,72.610,72.610
이마트 E/T군포점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,="15/19",7.621,10.500,15.110,15.000,48.231,0.000,48.231,48.231
신 홈플러스 서울남현점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,="6/11",8.737,14.687,13.000,23.140,59.564,0.000,59.564,59.564
신 홈플러스 평촌점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,="8/11",3.000,14.920,13.000,15.000,45.920,0.000,45.920,45.920
(신)이마트 가든5점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,="18/18",3.000,10.500,14.750,15.000,43.250,0.000,43.250,43.250
(신)이마트 경기광주점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,="7/18",5.140,10.500,15.625,33.000,64.266,0.000,64.266,64.266
(신)이마트 산본점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,="11/19",6.705,10.500,15.565,29.111,61.881,0.000,61.881,61.881
(신)이마트 스타필드하남점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,="8/19",4.956,10.500,18.063,34.094,67.612,0.000,67.612,67.612
신 홈플러스 경기하남점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,="1/11",10.000,30.000,13.000,40.000,93.000,0.000,93.000,93.000
(신)이마트 E/T안산신길점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,="4/19",4.005,28.343,15.154,23.126,70.628,0.000,70.628,70.628
